stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,6789,67,1,100,100,2,0,False,-14.576091766357422,0.0,0.0,0.0,0.48,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6906,68,1,100,100,2,0,False,30.07442855834961,2.0,2.0,1.0,0.4,0.0,0,117,47,47,0,0.008547008547008548
stage1a_single_agent_tiny,1,7020,69,1,100,100,2,0,False,7.431371688842773,2.0,2.0,0.0,0.4,0.0,0,114,9,-1,-1,0.0
stage1a_single_agent_tiny,1,7140,70,1,100,100,2,0,False,-17.60643196105957,0.0,0.0,0.0,0.48,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7260,71,1,100,100,2,0,False,-25.319997787475586,0.0,0.0,0.0,0.12,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7326,72,1,100,100,2,0,False,3.301654100418091,2.0,2.0,0.0,0.32,0.0,0,66,37,-1,-1,0.0
stage1a_single_agent_tiny,1,7446,73,1,100,100,2,0,False,-3.6139585971832275,1.0,1.0,0.0,0.44,0.0,0,120,21,-1,-1,0.0
stage1a_single_agent_tiny,1,7561,74,1,100,100,2,0,False,4.5866289138793945,2.0,2.0,0.0,0.6,0.0,0,115,23,-1,-1,0.0
stage1a_single_agent_tiny,1,7681,75,1,100,100,2,0,False,-9.6520414352417,1.0,1.0,0.0,0.44,0.0,0,120,69,-1,-1,0.0
stage1a_single_agent_tiny,1,7801,76,1,100,100,2,0,False,-4.883477210998535,1.0,1.0,0.0,0.28,0.0,0,120,31,-1,-1,0.0
stage1a_single_agent_tiny,1,7921,77,1,100,100,2,0,False,-2.0942189693450928,1.0,1.0,0.0,0.48,0.0,0,120,111,-1,-1,0.0
stage1a_single_agent_tiny,1,8033,78,1,100,100,2,0,False,22.456430435180664,2.0,2.0,1.0,0.32,0.0,0,112,83,83,0,0.008928571428571428
stage1a_single_agent_tiny,1,8153,79,1,100,100,2,0,False,-8.145312309265137,0.0,0.0,0.0,0.44,0.0,0,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8268,80,1,100,100,2,0,False,4.73442268371582,2.0,2.0,0.0,0.4,0.0,0,115,99,-1,-1,0.0
stage1a_single_agent_tiny,1,8329,81,1,100,100,2,0,False,7.91278076171875,2.0,2.0,0.0,0.36,0.0,0,61,27,-1,-1,0.0
stage1a_single_agent_tiny,1,8399,82,1,100,100,2,0,False,6.395781993865967,2.0,2.0,0.0,0.28,0.0,0,70,25,-1,-1,0.0
stage1a_single_agent_tiny,1,8415,83,1,100,100,2,0,False,12.816192626953125,2.0,2.0,0.0,0.16,0.0,0,16,2,-1,-1,0.0
