family,condition,seed,n_agents,max_steps,active_targets,food_source_capacity,pheromone_enabled,checkpoint_dir,food_picked_up,food_delivered,delivery_conversion,early_deliveries,late_deliveries,late_delivery_fraction,post_discovery_deliveries,time_to_first_discovery,time_to_first_delivery,pickup_to_delivery_latency,exploration_coverage,pheromone_usage,episode_length
focused_pheromone_ablation_extended_30_agents,trained_with_pheromone__eval_without_pheromone,116,3,1200,1,12,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.17754237288135594,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_with_pheromone__eval_without_pheromone,117,3,1200,1,12,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.13601694915254237,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_with_pheromone__eval_without_pheromone,118,3,1200,1,12,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11864406779661017,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_with_pheromone__eval_without_pheromone,119,3,1200,1,12,False,checkpoints/mappo_g/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.16864406779661018,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,100,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12330508474576271,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,101,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.15127118644067797,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,102,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1826271186440678,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,103,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1385593220338983,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,104,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.18389830508474575,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,105,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.13644067796610168,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,106,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.0635593220338983,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,107,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,1,1,1.0,0,1,1.0,1,1138,1195,57.0,0.1961864406779661,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,108,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11101694915254237,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,109,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,2,2,1.0,0,2,1.0,2,621,690,69.0,0.1478813559322034,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,110,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.10423728813559321,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,111,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.11822033898305084,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,112,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1733050847457627,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,113,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,1,0,0.0,0,0,0.0,0,1168,-1,-1.0,0.12838983050847458,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,114,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12203389830508475,0.0,1200
focused_pheromone_ablation_extended_30_agents,trained_without_pheromone__eval_without_pheromone,115,3,1200,1,12,False,checkpoints/mappo_g_no_pher_true/latest,1,0,0.0,0,0,0.0,0,6,-1,-1.0,0.16483050847457628,0.0,1200
