stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,1254,14,1,50,50,1,0,-2.498790740966797,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,1329,15,1,50,50,1,0,189.25003051757812,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,75,58,58,0,1.0,0.05333333333333334
stage1b_single_agent_tiny,2,1,1485,16,1,75,75,1,0,-2.365248680114746,0.0,0.0,0.0,0.375,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1605,17,1,75,75,1,0,-3.1801559925079346,0.0,0.0,0.0,0.3125,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1628,18,1,75,75,1,0,31.475112915039062,4.0,4.0,0.0,0.0625,0.0,0,0,0,23,10,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1662,19,1,75,75,1,0,31.103130340576172,4.0,4.0,0.0,0.125,0.0,0,0,0,34,30,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1782,20,1,75,75,1,0,-3.960454225540161,0.0,0.0,0.0,0.25,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1902,21,1,75,75,1,0,-2.410168170928955,0.0,0.0,0.0,0.25,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,1908,22,1,75,75,1,0,31.96969223022461,4.0,4.0,0.0,0.125,0.0,0,0,0,6,2,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2028,23,1,75,75,1,0,22.114154815673828,3.0,3.0,0.0,0.4375,0.0,0,0,1,120,70,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2056,24,1,75,75,1,0,31.675264358520508,4.0,4.0,0.0,0.125,0.0,0,0,0,28,18,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2092,25,1,75,75,1,0,31.61179542541504,4.0,4.0,0.0,0.1875,0.0,0,0,0,36,32,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2195,26,1,75,75,1,0,69.55437469482422,4.0,4.0,1.0,0.25,0.0,0,0,0,103,99,99,0,0.25,0.009708737864077669
stage1b_single_agent_tiny,2,1,2227,27,1,75,75,1,0,30.915346145629883,4.0,4.0,0.0,0.3125,0.0,0,0,0,32,27,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2297,28,1,75,75,1,0,31.475257873535156,4.0,4.0,0.0,0.375,0.0,0,0,0,70,66,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2361,29,1,75,75,1,0,31.00369644165039,4.0,4.0,0.0,0.25,0.0,0,0,0,64,60,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2388,30,1,75,75,1,0,31.952980041503906,4.0,4.0,0.0,0.3125,0.0,0,0,0,27,23,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2398,31,1,75,75,1,0,31.640356063842773,4.0,4.0,0.0,0.125,0.0,0,0,0,10,6,-1,-1,0.0,0.0
stage1b_single_agent_tiny,2,1,2442,32,1,75,75,1,0,111.28903198242188,4.0,4.0,2.0,0.1875,0.0,0,0,0,44,41,43,2,0.5,0.045454545454545456
stage1b_single_agent_tiny,2,1,2548,33,1,75,75,1,0,190.5340118408203,4.0,4.0,4.0,0.1875,0.0,0,0,0,106,103,103,0,1.0,0.03773584905660377
stage1b_single_agent_tiny,2,1,2590,34,1,75,75,1,0,191.5640869140625,4.0,4.0,4.0,0.25,0.0,0,0,0,42,39,39,0,1.0,0.09523809523809523
