family,condition,seed,n_agents,max_steps,active_targets,food_source_capacity,pheromone_enabled,checkpoint_dir,food_picked_up,food_delivered,delivery_conversion,early_deliveries,late_deliveries,late_delivery_fraction,post_discovery_deliveries,time_to_first_discovery,time_to_first_delivery,pickup_to_delivery_latency,exploration_coverage,pheromone_usage,episode_length
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,100,3,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.00708502024291498,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,101,3,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1417004048582996,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,101,3,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.1417004048582996,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,101,3,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.00708502024291498,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,102,3,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12854251012145748,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,102,3,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.12854251012145748,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,102,3,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.005060728744939271,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,103,3,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.02834008097165992,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,103,3,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.02834008097165992,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,103,3,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.003036437246963563,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,104,3,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07995951417004049,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,104,3,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.07995951417004049,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,104,3,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.006072874493927126,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,105,3,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,13,13,1.0,4,9,0.6923076923076923,13,160,188,28.0,0.13663967611336034,0.041038411214249206,1200
focused_pheromone_ablation,trained_with_pheromone__eval_without_pheromone,105,3,1200,1,12,False,checkpoints/mappo_gru_pheromone/stage3_full_marl,14,13,0.9285714285714286,3,10,0.7692307692307693,13,160,188,28.0,0.11842105263157894,0.0,1200
focused_pheromone_ablation,trained_without_pheromone__eval_without_pheromone,105,3,1200,1,12,False,checkpoints/mappo_gru_no_pheromone/stage3_full_marl,0,0,0.0,0,0,0.0,0,-1,-1,-1.0,0.004048582995951417,0.0,1200
focused_pheromone_ablation,trained_with_pheromone__eval_with_pheromone,106,3,1200,1,12,True,checkpoints/mappo_gru_pheromone/stage3_full_marl,1,1,1.0,0,1,1.0,1,747,786,39.0,0.10526315789473684,0.0033156988558928585,1200
