family,condition,n_agents,width,height,n_obstacles,pheromone_enabled,n,mean_episode_reward_mean,mean_episode_reward_std,mean_episode_reward_ci95,food_picked_up_mean,food_picked_up_std,food_picked_up_ci95,food_delivered_mean,food_delivered_std,food_delivered_ci95,delivery_conversion_mean,delivery_conversion_std,delivery_conversion_ci95,exploration_coverage_mean,exploration_coverage_std,exploration_coverage_ci95,pheromone_usage_mean,pheromone_usage_std,pheromone_usage_ci95,episode_length_mean,episode_length_std,episode_length_ci95,time_to_first_discovery_mean,time_to_first_discovery_std,time_to_first_discovery_ci95,carrying_stall_fraction_mean,carrying_stall_fraction_std,carrying_stall_fraction_ci95,carrying_low_progress_fraction_mean,carrying_low_progress_fraction_std,carrying_low_progress_fraction_ci95,non_carrying_nest_loiter_fraction_mean,non_carrying_nest_loiter_fraction_std,non_carrying_nest_loiter_fraction_ci95,non_carrying_nest_crowding_fraction_mean,non_carrying_nest_crowding_fraction_std,non_carrying_nest_crowding_fraction_ci95,non_carrying_explore_active_fraction_mean,non_carrying_explore_active_fraction_std,non_carrying_explore_active_fraction_ci95,non_carrying_force_explore_fraction_mean,non_carrying_force_explore_fraction_std,non_carrying_force_explore_fraction_ci95,non_carrying_random_explore_fraction_mean,non_carrying_random_explore_fraction_std,non_carrying_random_explore_fraction_ci95
swarm_size_scaling,15_agents,15,1400,950,18,True,8,-517.1136131286621,295.1402848462072,204.52178287976068,3.875,1.807721533549109,1.2526871117721294,3.75,1.7525491637693282,1.2144546101028229,0.85,0.3505098327538656,0.2428909220205646,0.3686970338983051,0.03947567300480767,0.02735524575213019,0.009924846831489654,0.006640181941323283,0.0046014113254417045,800.0,0.0,0.0,95.75,114.67687523771178,79.46702020335228,0.079375,0.0936177638821058,0.06487380056694689,0.2690625,0.18409133748146406,0.12756878842902758,1.02453125,0.7702837306276452,0.5337793923771902,1.82046875,1.1130833016373611,0.7713273756010235,11.358593749999999,1.280842432998549,0.8875785226046551,4.1460937499999995,0.9394604353554301,0.6510128676063649,14.4846875,0.30482631910881425,0.21123386217945747
swarm_size_scaling,20_agents,20,1400,950,18,True,8,-561.0066566467285,178.66958883427,123.81170829939407,5.25,2.052872551885702,1.4225681003031099,5.0,2.2038926600773587,1.5272196960489997,0.95,0.1414213562373095,0.098,0.4091631355932204,0.042446024945241585,0.029413594631729805,0.011005828597517848,0.006745398825826169,0.00467432290651847,800.0,0.0,0.0,82.875,66.16308314633298,45.848677461841795,0.17562499999999998,0.23931729535732024,0.1658384247543373,0.46218750000000003,0.35264482207415765,0.24437039413818115,1.1446874999999999,0.6340159522272065,0.4393506396162978,2.45875,0.7524338485399041,0.5214100551629206,15.381406250000001,1.6415671189527359,1.1375479767526564,5.68203125,1.1841194244601887,0.8205528972751008,19.180781250000003,0.5069741018586226,0.35131512880398763
swarm_size_scaling,30_agents,30,1400,950,18,True,8,-869.5944366455078,534.3909082973347,370.3140063602541,6.25,4.920801328471382,3.4099413484692076,5.625,4.50198368975912,3.11971553190351,0.9107142857142857,0.1821078397711709,0.12619429464123963,0.48389830508474574,0.03770676299255261,0.026129453652455344,0.012607688467210968,0.009262120552278718,0.0064183220856699,800.0,0.0,0.0,45.875,51.750603861211125,35.86133886234589,0.29234375,0.3627840251222875,0.2513965033847179,0.6453125000000001,0.5545347752524505,0.3842729939850705,1.4165625,1.0549377414771248,0.731034558113534,3.4253125,1.2097671245060824,0.8383258466469051,23.17921875,2.4008535440454004,1.6637066251976529,8.68921875,1.549408000066362,1.0736849655981788,28.937031249999997,0.797034105264861,0.552316456256341
robustness_harder_environments,control_final_stage,6,1400,950,18,True,8,-383.6714725494385,152.11280947585675,105.40879910400132,4.125,1.4577379737113252,1.0101608782763267,3.875,1.5526475085202969,1.0759298304257576,0.9375,0.11572751247156893,0.08019507466172719,0.23908898305084747,0.034197941754686136,0.023697964587013922,0.024072995480449513,0.014843009924712835,0.010285681111563997,800.0,0.0,0.0,132.0,83.14874795037076,57.61914265242064,0.08859375,0.0479044692032263,0.03319610352228857,0.30328125,0.11408396324480867,0.07905615315434023,0.73703125,0.5442999835552214,0.3771806451841908,0.7259374999999999,0.4740110711109123,0.3284729138852243,4.12484375,0.470877049039874,0.3263011473915812,1.591875,0.4000814649186195,0.27724231053358356,5.434218749999999,0.17004586763051396,0.11783577439200073
robustness_harder_environments,more_obstacles,6,1400,950,24,True,8,-566.4608268737793,493.52619734846763,341.99620642154554,1.75,1.7525491637693282,1.2144546101028229,1.625,1.685018016012207,1.1676579122328594,0.5833333333333333,0.4960158727618966,0.3437214634619788,0.1944385593220339,0.046583438020266286,0.03228067561681126,0.009469441517496003,0.009685828955459686,0.006711937029102186,800.0,0.0,0.0,89.75,142.19579057462587,98.5366556160701,0.04328125000000001,0.0467751913602255,0.03241355390207158,0.13453125,0.13994727562677717,0.09697851425219144,0.380625,0.6211675354868903,0.4304471410638012,0.5328125,0.7163622605866792,0.49641372000202616,4.51984375,0.699122037904634,0.48446685520173866,2.04921875,0.6523802358274002,0.4520764388923211,5.738125,0.2775868589932064,0.1923578793551228
robustness_harder_environments,sensor_noise,6,1400,950,18,True,8,-437.70585441589355,306.5245817088972,212.41069812019654,3.625,2.38671920665766,1.653912029099492,3.25,2.1213203435596424,1.4699999999999995,0.7927083333333333,0.34288220187854507,0.2376052434945641,0.2221927966101695,0.032562936069627034,0.022564963451973747,0.017594525479660207,0.013396718245240968,0.009283452110518325,800.0,0.0,0.0,204.75,202.6635142298682,140.43865030681545,0.1109375,0.08768793592702966,0.060764639439809066,0.29078125,0.19817125699307225,0.13732567486294214,0.79234375,0.801506794569498,0.5554158718150414,0.79046875,0.8300005210572805,0.5751610168914114,4.112656250000001,0.746646800912252,0.5173998357547696,1.49421875,0.40914159785850945,0.28352066234502643,5.49703125,0.34036937492073027,0.23586394325238128
robustness_harder_environments,failed_agents_2,6,1400,950,18,True,8,-265.7622928619385,98.6540784987804,68.36378854023364,3.0,1.3093073414159542,0.9073036977771003,2.75,1.2817398889233114,0.8882004278314662,0.9375,0.1767766952966369,0.12249999999999998,0.1791313559322034,0.024537363791928224,0.01700352560311943,0.01814315419759775,0.01179694041895811,0.008174862636148972,800.0,0.0,0.0,126.75,89.64652809785775,62.12187456926907,0.080625,0.05660798782605054,0.03922733421990334,0.21875,0.09054399088682963,0.06274378455273479,0.5871875000000001,0.40228130149898134,0.2787667195097901,0.44921875,0.3139736237073563,0.2175726208684413,2.74625,0.5357842216255133,0.37127952323687335,1.18890625,0.4211365561001901,0.2918327443315134,3.60046875,0.14604142254242214,0.10120154260959907
baseline_comparison,current_mappo,6,1400,950,18,True,8,-383.6714725494385,152.11280947585675,105.40879910400132,4.125,1.4577379737113252,1.0101608782763267,3.875,1.5526475085202969,1.0759298304257576,0.9375,0.11572751247156893,0.08019507466172719,0.23908898305084747,0.034197941754686136,0.023697964587013922,0.024072995480449513,0.014843009924712835,0.010285681111563997,800.0,0.0,0.0,132.0,83.14874795037076,57.61914265242064,0.08859375,0.0479044692032263,0.03319610352228857,0.30328125,0.11408396324480867,0.07905615315434023,0.73703125,0.5442999835552214,0.3771806451841908,0.7259374999999999,0.4740110711109123,0.3284729138852243,4.12484375,0.470877049039874,0.3263011473915812,1.591875,0.4000814649186195,0.27724231053358356,5.434218749999999,0.17004586763051396,0.11783577439200073
baseline_comparison,rule_based,6,1400,950,18,True,8,-244.0036735534668,36.611081576545395,25.370185168362138,0.875,0.6408699444616557,0.4441002139157331,0.375,0.5175491695067657,0.35864327680858593,0.375,0.5175491695067657,0.35864327680858593,0.10195974576271187,0.02849303410971034,0.019744665282844666,0.009598355999138827,0.01357543027869861,0.00940729323144111,800.0,0.0,0.0,236.375,208.53224313897223,144.50547195521696,0.175,0.25991499297160325,0.180111900981029,0.18093749999999997,0.2661999030669567,0.18446712147764974,0.24375000000000002,0.4002772476671638,0.27737798105653594,0.018437500000000002,0.029699010926291805,0.020580364580104014,1.2884375000000001,0.3399801399136636,0.23559421715366866,0.27390625,0.3806704831492343,0.26379118643173527,5.8003125,0.2624725750979927,0.18188421497274024
baseline_comparison,random,6,1400,950,18,True,8,-128.77061223983765,69.62284230975953,48.246168244258385,1.375,0.5175491695067657,0.35864327680858593,0.0,0.0,0.0,0.0,0.0,0.0,0.25492584745762714,0.02854250219599401,0.0197789449177229,0.03221249616965603,0.018271156449976223,0.012661265453380541,800.0,0.0,0.0,255.0,265.194268414685,183.7702522172726,0.47453125,0.2735023647553815,0.18952746925330508,0.6646875,0.3675678690974732,0.2547115381294102,0.13859375000000002,0.3485905533486651,0.2415609292478038,0.0084375,0.01812346052575422,0.012558917399600968,0.88390625,0.6337922420058373,0.43919561634203785,0.2525,0.3711739340063016,0.257210413620833,5.19796875,0.42811564770806965,0.2966690080739181
