stage,stage_index,global_step,episode,n_agents,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,episode_length,swarm_efficiency
stage2_small_swarm,2,118000,176,3,-711.881591796875,0.0,0.0,0.0,0.07995951417004049,0.5642380828977266,600,0.0
stage2_small_swarm,2,119800,177,3,-604.6953735351562,0.0,0.0,0.0,0.10728744939271255,0.5318226341943632,600,0.0
stage2_small_swarm,2,121600,178,3,-653.6577758789062,1.0,1.0,0.0,0.07489878542510121,0.47497496752999724,600,0.0
stage2_small_swarm,2,123400,179,3,-741.8598022460938,1.0,1.0,0.0,0.06680161943319839,0.6225084054931843,600,0.0
stage2_small_swarm,2,125200,180,3,-681.3495483398438,0.0,0.0,0.0,0.06275303643724696,0.637151998069797,600,0.0
stage2_small_swarm,2,127000,181,3,-665.268310546875,1.0,1.0,0.0,0.09615384615384616,0.5372440527526325,600,0.0
stage2_small_swarm,2,128800,182,3,-619.1231079101562,0.0,0.0,0.0,0.06578947368421052,0.6026570358528989,600,0.0
stage2_small_swarm,2,130600,183,3,-561.9052734375,0.0,0.0,0.0,0.12854251012145748,0.5164424798211097,600,0.0
stage2_small_swarm,2,132400,184,3,-429.501708984375,1.0,1.0,0.0,0.15688259109311742,0.473172975690379,600,0.0
stage2_small_swarm,2,134200,185,3,-780.51416015625,0.0,0.0,0.0,0.0465587044534413,0.6955722678267435,600,0.0
stage2_small_swarm,2,136000,186,3,-761.6946411132812,1.0,1.0,0.0,0.06072874493927125,0.6675351402054851,600,0.0
stage2_small_swarm,2,137800,187,3,-805.9578247070312,0.0,0.0,0.0,0.04554655870445344,0.6852471035330543,600,0.0
stage2_small_swarm,2,139600,188,3,-673.8093872070312,0.0,0.0,0.0,0.09210526315789473,0.6080334122894177,600,0.0
stage2_small_swarm,2,141400,189,3,-784.18896484375,0.0,0.0,0.0,0.04757085020242915,0.6570029088903943,600,0.0
stage2_small_swarm,2,143200,190,3,-729.85302734375,0.0,0.0,0.0,0.06072874493927125,0.6426066427707621,600,0.0
stage2_small_swarm,2,145000,191,3,-735.1613159179688,0.0,0.0,0.0,0.06072874493927125,0.6395873820922052,600,0.0
stage2_small_swarm,2,146800,192,3,-757.31396484375,0.0,0.0,0.0,0.04757085020242915,0.6878966307805644,600,0.0
stage2_small_swarm,2,148600,193,3,-556.18017578125,1.0,1.0,0.0,0.10121457489878542,0.5914960691247446,600,0.0
stage2_small_swarm,2,150400,194,3,-620.7285766601562,0.0,0.0,0.0,0.0931174089068826,0.6159771330598354,600,0.0
stage2_small_swarm,2,152200,195,3,-767.4736328125,0.0,0.0,0.0,0.048582995951417005,0.6416843726765364,600,0.0
stage2_small_swarm,2,154000,196,3,-700.8479614257812,1.0,1.0,0.0,0.029352226720647773,0.5735846348381083,600,0.0
