episode,global_step,epsilon,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,food_delivered,exploration_coverage,coverage_reward_total,pheromone_usage,pheromone_deposit_events,episode_length,collisions,reward_step_component,reward_pickup_component,reward_delivery_component,reward_collision_component,reward_exploration_component,reward_new_cell_component,reward_food_approach_component,reward_food_detected_component,reward_pheromone_follow_component,reward_pheromone_usage_component,reward_pheromone_deposit_component,reward_pheromone_component,swarm_efficiency
11,6600,0.21636875,-137.88467407226562,2,2,0,0,0.13663967611336034,2.580000000000002,0.0,0,600,2617,-287.9999999999988,16.0,0.0,-523.3999999999999,2.580000000000002,2.580000000000002,0.6727515869140624,0.1,0.0,0.0,-35.259999999999756,-35.259999999999756,0.0
12,7200,0.14511875000000007,-93.60040283203125,1,1,0,0,0.19736842105263158,3.780000000000003,0.0,0,600,1300,-287.9999999999988,8.0,0.0,-259.99999999999915,3.780000000000003,3.780000000000003,1.7780632336934408,0.8000000000000002,0.0,0.0,-27.959999999999727,-27.959999999999727,0.0
13,7800,0.07386875000000004,-139.03628540039062,2,2,0,0,0.08906882591093117,1.640000000000001,0.0,0,600,2669,-287.9999999999988,16.0,0.0,-533.7999999999993,1.640000000000001,1.640000000000001,0.8121340904235839,0.25,0.0,0.0,-31.119999999999745,-31.119999999999745,0.0
14,8400,0.05,-115.10050201416016,0,0,0,0,0.15587044534412955,2.960000000000002,0.0,0,600,1864,-287.9999999999988,0.0,0.0,-372.8000000000022,2.960000000000002,2.960000000000002,1.3784129282633462,0.7000000000000001,0.0,0.0,-34.83999999999973,-34.83999999999973,0.0
15,9000,0.05,-131.64109802246094,0,0,0,0,0.11133603238866396,2.0800000000000014,0.0,0,600,2363,-287.9999999999988,0.0,0.0,-472.59999999999906,2.0800000000000014,2.0800000000000014,0.7742208658854165,0.1,0.0,0.0,-32.199999999999676,-32.199999999999676,0.0
16,9600,0.05,-129.33203125,0,0,0,0,0.11437246963562753,2.1400000000000015,0.0,0,600,2306,-287.9999999999988,0.0,0.0,-461.1999999999995,2.1400000000000015,2.1400000000000015,0.6877004699707034,0.2,0.0,0.0,-29.819999999999702,-29.819999999999702,0.0
17,10200,0.05,-112.00277709960938,1,1,0,0,0.16194331983805668,3.0800000000000023,0.0,0,600,1845,-287.9999999999988,8.0,0.0,-369.0000000000009,3.0800000000000023,3.0800000000000023,0.212961903889974,0.05,0.0,0.0,-26.359999999999747,-26.359999999999747,0.0
18,10800,0.05,-88.18241119384766,1,1,0,0,0.2145748987854251,4.12,0.0,0,600,1115,-287.9999999999988,8.0,0.0,-223.00000000000088,4.12,4.12,0.6864324506123858,0.2,0.0,0.0,-31.099999999999767,-31.099999999999767,0.0
19,11400,0.05,-85.4452896118164,2,2,0,0,0.20647773279352227,3.960000000000003,0.0,0,600,1062,-287.9999999999988,16.0,0.0,-212.40000000000106,3.960000000000003,3.960000000000003,1.0191568806966151,0.35,0.0,0.0,-33.5999999999997,-33.5999999999997,0.0
20,12000,0.05,-71.42642211914062,0,0,0,0,0.10425101214574899,1.9400000000000013,0.0,0,600,576,-287.9999999999988,0.0,0.0,-115.20000000000056,1.9400000000000013,1.9400000000000013,0.7323513717651365,1.0500000000000003,0.0,0.0,-29.079999999999735,-29.079999999999735,0.0
