stage,stage_index,global_step,episode,n_agents,width,height,n_targets,n_obstacles,pheromone_enabled,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,low_displacement_fraction,crowding_fraction,stuck_event_count,successful_escape_count,mean_stuck_duration,max_collision_streak,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,swarm_efficiency
stage1a_single_agent_tiny,1,4200,35,1,100,100,2,0,True,15.395702362060547,3.0,3.0,0.0,0.48,0.36707354699901773,55,0.625,0.0,1,0,7.0,1,120,78,-1,-1,0.0
stage1a_single_agent_tiny,1,4320,36,1,100,100,2,0,True,21.74930191040039,1.0,1.0,1.0,0.56,0.4854417960314701,71,0.575,0.0,3,0,8.333333333333334,1,120,28,28,0,0.008333333333333333
stage1a_single_agent_tiny,1,4440,37,1,100,100,2,0,True,-17.95395278930664,0.0,0.0,0.0,0.44,0.5030409137058692,64,0.6416666666666667,0.0,4,0,8.5,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4560,38,1,100,100,2,0,True,-14.449848175048828,1.0,1.0,0.0,0.24,0.608174426923506,77,0.6833333333333333,0.0,3,0,7.0,1,120,88,-1,-1,0.0
stage1a_single_agent_tiny,1,4680,39,1,100,100,2,0,True,-1.5737850666046143,3.0,3.0,0.0,0.4,0.5552291647162444,68,0.6,0.0,2,0,6.5,1,120,5,-1,-1,0.0
stage1a_single_agent_tiny,1,4800,40,1,100,100,2,0,True,-16.583438873291016,0.0,0.0,0.0,0.4,0.4944124614354223,65,0.65,0.0,2,0,3.5,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,4920,41,1,100,100,2,0,True,-19.342140197753906,0.0,0.0,0.0,0.28,0.46167108989320693,68,0.5916666666666667,0.0,2,0,7.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5040,42,1,100,100,2,0,True,7.518650054931641,3.0,3.0,0.0,0.44,0.34709462655494766,52,0.525,0.0,2,0,9.0,1,120,32,-1,-1,0.0
stage1a_single_agent_tiny,1,5160,43,1,100,100,2,0,True,-2.03252911567688,2.0,2.0,0.0,0.32,0.501421226390327,55,0.6333333333333333,0.0,3,0,8.333333333333334,1,120,83,-1,-1,0.0
stage1a_single_agent_tiny,1,5280,44,1,100,100,2,0,True,-3.865706443786621,1.0,1.0,0.0,0.32,0.45966337993741035,58,0.6166666666666667,0.0,2,0,5.5,1,120,10,-1,-1,0.0
stage1a_single_agent_tiny,1,5400,45,1,100,100,2,0,True,-19.091094970703125,0.0,0.0,0.0,0.44,0.512652230404395,76,0.6333333333333333,0.0,2,0,12.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5520,46,1,100,100,2,0,True,-14.73044204711914,0.0,0.0,0.0,0.36,0.5955536969549333,73,0.6666666666666666,0.0,3,0,7.666666666666667,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,5640,47,1,100,100,2,0,True,-3.365626573562622,2.0,2.0,0.0,0.4,0.5180879003251903,81,0.5833333333333334,0.0,4,0,7.5,1,120,36,-1,-1,0.0
stage1a_single_agent_tiny,1,5760,48,1,100,100,2,0,True,-5.3178229331970215,1.0,1.0,0.0,0.36,0.45871416450633357,56,0.7,0.0,0,0,0.0,1,120,44,-1,-1,0.0
stage1a_single_agent_tiny,1,5880,49,1,100,100,2,0,True,-14.711092948913574,0.0,0.0,0.0,0.32,0.5372467138047796,71,0.7,0.0,6,0,5.833333333333333,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6000,50,1,100,100,2,0,True,-7.813265800476074,1.0,1.0,0.0,0.36,0.5360124504329481,55,0.6,0.0,3,0,7.0,1,120,45,-1,-1,0.0
stage1a_single_agent_tiny,1,6120,51,1,100,100,2,0,True,-4.001432418823242,1.0,1.0,0.0,0.32,0.6325953453274754,85,0.6916666666666667,0.0,5,0,10.2,1,120,81,-1,-1,0.0
stage1a_single_agent_tiny,1,6240,52,1,100,100,2,0,True,4.444764614105225,2.0,2.0,0.0,0.2,0.53012119216534,61,0.7,0.0,1,0,9.0,1,120,39,-1,-1,0.0
stage1a_single_agent_tiny,1,6360,53,1,100,100,2,0,True,27.54499053955078,1.0,1.0,1.0,0.44,0.5561537915161655,69,0.6583333333333333,0.0,5,0,6.8,1,120,40,40,0,0.008333333333333333
stage1a_single_agent_tiny,1,6480,54,1,100,100,2,0,True,5.815309524536133,2.0,2.0,0.0,0.48,0.542938950364866,67,0.6833333333333333,0.0,4,0,9.0,1,120,20,-1,-1,0.0
stage1a_single_agent_tiny,1,6600,55,1,100,100,2,0,True,-9.77140998840332,1.0,1.0,0.0,0.24,0.48259965603550276,55,0.5666666666666667,0.0,0,0,0.0,1,120,72,-1,-1,0.0
stage1a_single_agent_tiny,1,6720,56,1,100,100,2,0,True,-6.958462715148926,1.0,1.0,0.0,0.36,0.5438856840521719,65,0.6833333333333333,0.0,3,0,7.0,1,120,62,-1,-1,0.0
stage1a_single_agent_tiny,1,6840,57,1,100,100,2,0,True,-13.755596160888672,0.0,0.0,0.0,0.36,0.5230497697504082,74,0.6583333333333333,0.0,4,0,10.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,6960,58,1,100,100,2,0,True,21.794069290161133,4.0,4.0,0.0,0.48,0.4699668406819304,61,0.5166666666666667,0.0,3,0,8.333333333333334,1,120,2,-1,-1,0.0
stage1a_single_agent_tiny,1,7080,59,1,100,100,2,0,True,-1.9550056457519531,2.0,2.0,0.0,0.36,0.4175256379356142,59,0.5916666666666667,0.0,2,0,7.0,1,120,20,-1,-1,0.0
stage1a_single_agent_tiny,1,7200,60,1,100,100,2,0,True,-3.6894776821136475,1.0,1.0,0.0,0.4,0.511359062625949,59,0.6666666666666666,0.0,2,0,9.0,1,120,12,-1,-1,0.0
stage1a_single_agent_tiny,1,7320,61,1,100,100,2,0,True,-26.845121383666992,0.0,0.0,0.0,0.44,0.5873995017745377,62,0.6333333333333333,0.0,2,0,8.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,7440,62,1,100,100,2,0,True,-8.15962028503418,1.0,1.0,0.0,0.4,0.5417053355835378,65,0.5833333333333334,0.0,1,0,11.0,1,120,61,-1,-1,0.0
stage1a_single_agent_tiny,1,7560,63,1,100,100,2,0,True,1.0895267724990845,2.0,2.0,0.0,0.24,0.5515190054293877,83,0.7,0.0,2,0,9.0,1,120,9,-1,-1,0.0
stage1a_single_agent_tiny,1,7680,64,1,100,100,2,0,True,-5.677340507507324,1.0,1.0,0.0,0.28,0.4827578470731775,66,0.6333333333333333,0.0,2,0,8.0,1,120,25,-1,-1,0.0
stage1a_single_agent_tiny,1,7800,65,1,100,100,2,0,True,-0.7724008560180664,2.0,2.0,0.0,0.28,0.554261060594581,62,0.6416666666666667,0.0,3,0,9.666666666666666,1,120,47,-1,-1,0.0
stage1a_single_agent_tiny,1,7920,66,1,100,100,2,0,True,9.676187515258789,3.0,3.0,0.0,0.4,0.30409705585916524,49,0.5583333333333333,0.0,3,0,7.0,1,120,18,-1,-1,0.0
stage1a_single_agent_tiny,1,8040,67,1,100,100,2,0,True,-11.25843334197998,1.0,1.0,0.0,0.4,0.49051449410423326,67,0.5916666666666667,0.0,3,0,7.0,1,120,26,-1,-1,0.0
stage1a_single_agent_tiny,1,8160,68,1,100,100,2,0,True,15.273755073547363,4.0,4.0,0.0,0.28,0.5853188021263729,76,0.6916666666666667,0.0,4,0,8.5,1,120,16,-1,-1,0.0
stage1a_single_agent_tiny,1,8280,69,1,100,100,2,0,True,-10.253562927246094,0.0,0.0,0.0,0.36,0.49629732185276226,50,0.6333333333333333,0.0,1,0,11.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8400,70,1,100,100,2,0,True,-1.1600183248519897,1.0,1.0,0.0,0.36,0.42988345394066224,53,0.6833333333333333,0.0,4,0,9.0,1,120,89,-1,-1,0.0
stage1a_single_agent_tiny,1,8520,71,1,100,100,2,0,True,-2.6652181148529053,1.0,1.0,0.0,0.36,0.395344547884694,43,0.6333333333333333,0.0,4,0,8.0,1,120,92,-1,-1,0.0
stage1a_single_agent_tiny,1,8640,72,1,100,100,2,0,True,5.213177680969238,3.0,3.0,0.0,0.44,0.3534081389273827,66,0.5,0.0,1,0,7.0,1,120,17,-1,-1,0.0
stage1a_single_agent_tiny,1,8760,73,1,100,100,2,0,True,-10.435165405273438,0.0,0.0,0.0,0.32,0.48702063073287716,63,0.5916666666666667,0.0,1,0,7.0,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,8880,74,1,100,100,2,0,True,-9.904244422912598,1.0,1.0,0.0,0.32,0.5093845227966085,59,0.5916666666666667,0.0,5,0,5.4,1,120,63,-1,-1,0.0
stage1a_single_agent_tiny,1,9000,75,1,100,100,2,0,True,4.319612979888916,2.0,2.0,0.0,0.28,0.40617860218820473,54,0.5416666666666666,0.0,1,0,9.0,1,120,7,-1,-1,0.0
stage1a_single_agent_tiny,1,9120,76,1,100,100,2,0,True,-3.3266048431396484,2.0,2.0,0.0,0.4,0.5054233475564008,76,0.6416666666666667,0.0,2,0,7.0,1,120,19,-1,-1,0.0
stage1a_single_agent_tiny,1,9240,77,1,100,100,2,0,True,3.370192527770996,3.0,3.0,0.0,0.48,0.4593965209001908,63,0.5583333333333333,0.0,1,0,7.0,1,120,20,-1,-1,0.0
stage1a_single_agent_tiny,1,9360,78,1,100,100,2,0,True,-2.2787327766418457,1.0,1.0,0.0,0.32,0.5031883602108186,53,0.6833333333333333,0.0,2,0,4.5,1,120,69,-1,-1,0.0
stage1a_single_agent_tiny,1,9480,79,1,100,100,2,0,True,-14.083160400390625,1.0,1.0,0.0,0.36,0.5068595627400403,68,0.5833333333333334,0.0,1,0,7.0,1,120,23,-1,-1,0.0
stage1a_single_agent_tiny,1,9600,80,1,100,100,2,0,True,-1.8743680715560913,1.0,1.0,0.0,0.4,0.3629663064920654,56,0.575,0.0,1,0,7.0,1,120,46,-1,-1,0.0
stage1a_single_agent_tiny,1,9720,81,1,100,100,2,0,True,-19.14944076538086,0.0,0.0,0.0,0.36,0.37668760006975693,53,0.6083333333333333,0.0,3,0,6.666666666666667,1,120,-1,-1,-1,0.0
stage1a_single_agent_tiny,1,9840,82,1,100,100,2,0,True,13.801643371582031,3.0,3.0,0.0,0.36,0.4377455657891308,61,0.6083333333333333,0.0,3,0,10.666666666666666,1,120,100,-1,-1,0.0
stage1a_single_agent_tiny,1,9960,83,1,100,100,2,0,True,-2.3861958980560303,1.0,1.0,0.0,0.2,0.5947381191033249,68,0.7083333333333334,0.0,2,0,11.0,1,120,91,-1,-1,0.0
stage1a_single_agent_tiny,1,10080,84,1,100,100,2,0,True,24.309804916381836,4.0,4.0,0.0,0.44,0.40813448369541827,59,0.5833333333333334,0.0,3,0,9.666666666666666,1,120,15,-1,-1,0.0
stage1a_single_agent_tiny,1,10200,85,1,100,100,2,0,True,8.481226921081543,4.0,4.0,0.0,0.56,0.4702855442107345,50,0.5583333333333333,0.0,0,0,0.0,1,120,25,-1,-1,0.0
stage1a_single_agent_tiny,1,10320,86,1,100,100,2,0,True,13.940340995788574,4.0,4.0,0.0,0.32,0.4508389072182278,64,0.6083333333333333,0.0,3,0,8.333333333333334,1,120,8,-1,-1,0.0
stage1a_single_agent_tiny,1,10440,87,1,100,100,2,0,True,13.222272872924805,5.0,5.0,0.0,0.52,0.44546915832906964,47,0.5416666666666666,0.0,1,0,7.0,1,120,20,-1,-1,0.0
