stage,stage_index,stage_attempt,global_step,episode,n_agents,width,height,n_targets,n_obstacles,mean_episode_reward,food_discovered,food_picked_up,food_retrieved,exploration_coverage,pheromone_usage,pheromone_deposit_events,food_source_respawns,food_units_remaining,episode_length,first_pickup_step,first_delivery_step,pickup_to_delivery_latency,delivery_conversion,swarm_efficiency
stage1a_single_agent_miniscule,1,1,4496,53,1,50,50,1,0,-3.6253857612609863,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,4616,54,1,50,50,1,0,-4.189824104309082,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,4650,55,1,50,50,1,0,190.8851318359375,4.0,4.0,4.0,0.2222222222222222,0.0,0,0,0,34,31,31,0,1.0,0.11764705882352941
stage1a_single_agent_miniscule,1,1,4751,56,1,50,50,1,0,189.72085571289062,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,101,92,92,0,1.0,0.039603960396039604
stage1a_single_agent_miniscule,1,1,4871,57,1,50,50,1,0,-3.436936378479004,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,4991,58,1,50,50,1,0,-3.1767706871032715,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,5018,59,1,50,50,1,0,191.06947326660156,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,27,24,24,0,1.0,0.14814814814814814
stage1a_single_agent_miniscule,1,1,5138,60,1,50,50,1,0,91.97570037841797,2.0,2.0,2.0,0.3333333333333333,0.0,0,0,2,120,7,7,0,1.0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,5258,61,1,50,50,1,0,92.2987060546875,2.0,2.0,2.0,0.4444444444444444,0.0,0,0,2,120,56,56,0,1.0,0.016666666666666666
stage1a_single_agent_miniscule,1,1,5378,62,1,50,50,1,0,43.94290542602539,1.0,1.0,1.0,0.3333333333333333,0.0,0,0,3,120,117,117,0,1.0,0.008333333333333333
stage1a_single_agent_miniscule,1,1,5478,63,1,50,50,1,0,190.14706420898438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,100,82,82,0,1.0,0.04
stage1a_single_agent_miniscule,1,1,5598,64,1,50,50,1,0,43.36989974975586,1.0,1.0,1.0,0.4444444444444444,0.0,0,0,3,120,49,49,0,1.0,0.008333333333333333
stage1a_single_agent_miniscule,1,1,5657,65,1,50,50,1,0,190.46316528320312,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,59,56,56,0,1.0,0.06779661016949153
stage1a_single_agent_miniscule,1,1,5680,66,1,50,50,1,0,191.08392333984375,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,23,20,20,0,1.0,0.17391304347826086
stage1a_single_agent_miniscule,1,1,5735,67,1,50,50,1,0,190.24893188476562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,55,52,52,0,1.0,0.07272727272727272
stage1a_single_agent_miniscule,1,1,5762,68,1,50,50,1,0,190.79745483398438,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,27,24,24,0,1.0,0.14814814814814814
stage1a_single_agent_miniscule,1,1,5882,69,1,50,50,1,0,138.82041931152344,3.0,3.0,3.0,0.4444444444444444,0.0,0,0,1,120,90,90,0,1.0,0.025
stage1a_single_agent_miniscule,1,1,6002,70,1,50,50,1,0,-3.7069153785705566,0.0,0.0,0.0,0.4444444444444444,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
stage1a_single_agent_miniscule,1,1,6091,71,1,50,50,1,0,190.04141235351562,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,89,86,86,0,1.0,0.0449438202247191
stage1a_single_agent_miniscule,1,1,6125,72,1,50,50,1,0,190.95645141601562,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,34,29,29,0,1.0,0.11764705882352941
stage1a_single_agent_miniscule,1,1,6232,73,1,50,50,1,0,188.91812133789062,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,107,104,104,0,1.0,0.037383177570093455
stage1a_single_agent_miniscule,1,1,6236,74,1,50,50,1,0,192.01123046875,4.0,4.0,4.0,0.1111111111111111,0.0,0,0,0,4,1,1,0,1.0,1.0
stage1a_single_agent_miniscule,1,1,6316,75,1,50,50,1,0,189.46527099609375,4.0,4.0,4.0,0.4444444444444444,0.0,0,0,0,80,77,77,0,1.0,0.05
stage1a_single_agent_miniscule,1,1,6363,76,1,50,50,1,0,190.52215576171875,4.0,4.0,4.0,0.3333333333333333,0.0,0,0,0,47,1,1,0,1.0,0.0851063829787234
stage1a_single_agent_miniscule,1,1,6483,77,1,50,50,1,0,-3.7922112941741943,0.0,0.0,0.0,0.2222222222222222,0.0,0,0,4,120,-1,-1,-1,0.0,0.0
